"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Backend & APIs","0","Data-Driven Testing","1","0","Consulta de CPF - Fraude Detectada","0"
"0","Backend & APIs","0","Idempotência de Pagamentos","1","0","","0"
"0","IA & GenAI","0","Self-Healing de API","1","0","Correção dinâmica de Payload no 400 Bad Request","0"
"0","Backend & APIs","0","Validação de CPF (Service Virtualization)","1","0","Caminho Feliz - CPF Regular","0"
"0","Engenharia de Confiabilidade (SRE)","0","Mecanismo de Autorrecuperação","1","0","Sobrevivência a Flaky Network","0"
"0","Frontend Web","0","Tela de Consulta de CPF","0","1","Renderização da Home Page","0"
"0","Backend & APIs","0","Data-Driven Testing","1","0","Consulta de CPF - Caminho Feliz","0"
"0","Backend & APIs","0","Core de Seguros (CRUD de Propostas)","1","0","Tratamento de Falhas Sistêmicas","0"
"0","Backend & APIs","0","Data-Driven Testing","1","0","Consulta de CPF - Titular Falecido","0"
"0","Backend & APIs","0","Data-Driven Testing","1","0","Consulta de CPF - Documento Cancelado","0"
"0","Backend & APIs","0","Core de Seguros (CRUD de Propostas)","1","0","Criação de Proposta","0"
"0","Backend & APIs","0","Core de Seguros (CRUD de Propostas)","1","0","Atualização de Proposta","0"
"0","Backend & APIs","0","Core de Seguros (CRUD de Propostas)","2","0","Consulta de Proposta","0"
"0","Backend & APIs","0","Data-Driven Testing","1","0","Consulta de CPF - Nome Sujo (Inadimplente)","0"
"0","Backend & APIs","0","Core de Seguros (CRUD de Propostas)","1","0","Cancelamento de Proposta","0"
"0","Backend & APIs","0","Validação de CPF (Service Virtualization)","1","0","Caminho de Exceção - CPF Inválido","0"
